Miles,Name,Teff,[Fe/H],logg
1,HD 224930,5411,-0.78,4.19
2,HD 225212,4179,0.18,0.85
3,HD 225239,5559,-0.51,3.72
4,HD 00004,6779,0.21,3.87
5,HD 00249,4766,-0.27,2.91
6,HD 00319,8641,-0.35,4.29
7,HD 00400,6190,-0.22,4.15
8,HD 00245,5749,-0.57,4.13
9,HD 00448,4800,0.04,2.63
10,BD+13 0013,5000,-0.75,3.0
11,HD 00886,20454,-0.03,3.79
12,HD 01326B,3679,-1.15,4.92
13,HD 01461,5666,0.19,4.21
14,HD 01918,4888,-0.4,2.44
15,HD 02628,7335,-0.09,3.95
16,HD 02665,4986,-1.96,2.28
17,HD 02796,4837,-2.23,1.78
18,HD 02857,8000,-1.5,2.7
19,HD 03008,4289,-1.87,0.72
20,HD 03369,16005,0.04,3.71
21,HD 03360,20375,-0.04,3.8
22,HD 03567,6094,-1.14,4.18
23,HD 03546,4945,-0.66,2.36
24,HD 03574,4048,0.1,1.13
25,HD 03651,5211,0.21,4.48
26,HD 03795,5345,-0.63,3.72
27,HD 03883,7616,0.68,3.81
28,HD 04307,5773,-0.24,3.97
29,HD 04395,5444,-0.27,3.43
30,HD 04539,25000,0.0,5.4
31,HD 04628,4964,-0.23,4.65
32,HD 04656,3956,-0.09,1.85
33,HD 04744,4638,-0.64,2.35
34,HD 04906,5157,-0.66,3.58
35,HD 05268,4904,-0.57,2.35
36,HD 05384,3964,0.16,1.95
37,HD 05395,4870,-0.4,2.43
38,HD 05780,3943,-0.56,1.75
39,HD 05916,4954,-0.75,2.31
40,HD 06186,4865,-0.35,2.36
41,HD 06203,4565,-0.32,2.28
42,HD 06268,4735,-2.36,1.42
43,HD 06229,5181,-1.14,2.5
44,HD 06474,6781,0.26,0.49
45,HD 06497,4448,0.04,2.75
46,HD 06582,5323,-0.79,4.33
47,HD 06805,4563,0.12,2.61
48,HD 05848,4499,0.14,2.27
49,HD 06834,6482,-0.58,4.22
50,HD 06755,5097,-1.58,2.53
51,HD 06833,4596,-0.7,1.9
52,HD 07106,4701,0.01,2.58
53,HD 07351,3548,-0.23,0.83
54,HD 07374,12247,0.16,4.16
55,HD 07595,4349,-0.57,1.72
56,HD 07672,4939,-0.42,2.78
57,HD 08724,4772,-1.64,1.69
58,HD 08829,7129,-0.17,4.1
59,HD 09138,4078,-0.4,1.94
60,HD 09356,6800,-0.8,4.24
61,HD 09562,5766,0.14,3.89
62,HD 09408,4814,-0.31,2.46
63,HD 09826,6139,0.11,4.06
64,HD 09919,6860,-0.35,4.0
