n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD000249  	K1IV        	 4757	  28	 2.88	 0.09	-0.29	 0.06	0 	HD000249  	001.84401	+26.45060
 	HD000358  	B8IVmnp...  	12307	 180	 4.14	 0.07	 0.38	 0.09	0 	HD000358  	002.09691	+29.09043
 	HD000400  	F8IV        	 6215	  45	 4.18	 0.07	-0.24	 0.07	0 	HD000400  	002.17058	+36.62712
 	HD000417  	K0III       	 4858	  33	 2.45	 0.10	-0.30	 0.08	0 	HD000417  	002.21724	+25.46298
 	HD000693  	F5V         	 6221	  41	 4.14	 0.06	-0.34	 0.06	0 	HD000693  	002.81607	-15.46798
 	HD000886  	B2IV        	21397	 382	 3.84	 0.04	-0.06	 0.03	0 	HD000886  	003.30897	+15.18360
 	HD001227  	G8II-III    	 5068	  41	 2.81	 0.10	 0.00	 0.09	0 	HD001227  	004.14184	+08.24015
 	HD001406  	K3III       	 4349	  20	 2.61	 0.09	-0.13	 0.06	0 	HD001406  	004.58651	+30.39594
 	HD001522  	K1.5III     	 4530	  25	 2.25	 0.09	 0.14	 0.05	0 	HD001522  	004.85698	-08.82392
 	HD001918  	G9III       	 4896	  33	 2.47	 0.10	-0.42	 0.08	0 	HD001918  	005.93017	+45.08914
 	HD001967  	Se...       	 3630	  41	 0.38	 0.52	-1.00	 0.00	0 	HD001967  	006.00811	+38.57704
 	HD002126  	K0III-IV    	 4775	  28	 2.79	 0.09	-0.34	 0.06	0 	HD002126  	006.40074	+34.11713
 	HD002454  	F6Vawvar    	 6492	  42	 4.12	 0.05	-0.29	 0.06	0 	HD002454  	007.08355	+10.18985
 	HD002628  	A7III       	 7305	  56	 3.98	 0.06	-0.07	 0.06	0 	HD002628  	007.53069	+29.75156
 	HD002665  	G5IIIw      	 4942	  62	 2.12	 0.20	-2.03	 0.14	0 	HD002665  	007.68936	+57.06490
 	HD002796  	Fw          	 4879	  85	 1.82	 0.26	-2.25	 0.19	0 	HD002796  	007.82047	-16.79467
O	HD002857  	A2          	 7776	    	 3.19	     	-1.70	     	2m	HD002857  	007.97413	-05.26191
 	HD002952  	K0III       	 4800	  35	 2.61	 0.11	-0.09	 0.08	0 	HD002952  	008.29331	+54.89498
 	HD003268  	F7V         	 6225	  44	 4.11	 0.07	-0.16	 0.06	0 	HD003268  	008.97834	+13.20707
 	HD003360  	B2IV        	21652	 505	 3.87	 0.05	-0.08	 0.03	0 	HD003360  	009.24285	+53.89691
 	HD003454  	F5          	 6186	  64	 4.30	 0.09	-0.56	 0.11	0 	HD003454  	009.48747	+47.40771
 	HD003546  	G8III       	 4979	  43	 2.46	 0.12	-0.64	 0.11	0 	HD003546  	009.63894	+29.31175
 	HD003817  	G8III       	 5101	  32	 2.64	 0.08	-0.15	 0.07	0 	HD003817  	010.27994	+39.45866
 	HD004128  	K0III       	 4906	  27	 2.63	 0.07	 0.07	 0.06	0 	HD004128  	010.89738	-17.98660
 	HD004188  	K0III       	 4859	  24	 2.66	 0.07	-0.04	 0.05	0 	HD004188  	011.04751	-10.60955
 	HD004306  	G0          	 4915	  73	 2.01	 0.22	-2.55	 0.15	0 	HD004306  	011.36318	-09.54439
O	HD004307  	G2V         	 5803	  32	 4.01	 0.06	-0.26	 0.05	0 	HD004307  	011.36953	-12.88081
 	HD004395  	G5          	 5448	  51	 3.39	 0.12	-0.28	 0.10	0 	HD004395  	011.55729	-11.45238
 	HD004502  	K1IIe       	 4632	  43	 2.31	 0.15	-0.15	 0.10	0 	HD004502  	011.83469	+24.26718
 	HD004614  	G0V         	 5928	  29	 4.33	 0.05	-0.28	 0.05	0 	HD004614  	012.27621	+57.81519
 	HD004727  	B5V+...     	15989	 302	 3.80	 0.07	-0.05	 0.07	0 	HD004727  	012.45353	+41.07891
 	HD004744  	G8IV        	 4643	  22	 2.46	 0.08	-0.66	 0.05	0 	HD004744  	012.46996	+30.45029
 	HD004813  	F7IV-V      	 6197	  33	 4.29	 0.05	-0.13	 0.05	0 	HD004813  	012.53163	-10.64433
 	HD004817  	K3Iab:      	 4062	  20	 0.71	 0.12	 0.14	 0.06	0 	HD004817  	012.81826	+61.80549
 	HD004963  	K1III       	 4661	  22	 2.32	 0.08	-0.51	 0.05	0 	HD004963  	012.97657	+27.77948
 	HD005007  	K1III       	 4546	  23	 2.64	 0.09	 0.04	 0.05	0 	HD005007  	013.09684	+25.78064
 	HD005015  	F8V         	 6070	  32	 4.06	 0.06	 0.04	 0.04	0 	HD005015  	013.26749	+61.12397
 	HD005234  	K2III       	 4457	  24	 2.18	 0.10	-0.08	 0.06	0 	HD005234  	013.75065	+58.97270
 	HD005286  	K1IV        	 4844	  29	 3.47	 0.07	 0.15	 0.06	0 	HD005286  	013.74211	+23.62834
O	HD005394  	B0IVe       	33939	1090	 3.38	 0.06	 0.02	 0.04	0 	HD005394  	014.17722	+60.71674
 	HD005395  	G8IIIb      	 4890	  26	 2.51	 0.08	-0.41	 0.06	0 	HD005395  	014.16627	+59.18106
 	HD005516  	G8III       	 5039	  30	 2.88	 0.08	 0.05	 0.06	0 	HD005516  	014.30167	+23.41765
 	HD005750  	F5          	 6330	  47	 4.21	 0.06	-0.42	 0.07	0 	HD005750  	014.89926	+32.49211
 	HD005848  	K2II-III    	 4500	  27	 2.28	 0.10	 0.12	 0.06	0 	HD005848  	017.18699	+86.25709
 	HD005916  	G8III-IV    	 5015	  40	 2.48	 0.11	-0.71	 0.10	0 	HD005916  	015.32927	+45.45205
 	HD006186  	G9III       	 4878	  33	 2.43	 0.10	-0.35	 0.08	0 	HD006186  	015.73587	+07.89014
 	HD006203  	K0III       	 4570	  24	 2.31	 0.09	-0.34	 0.06	0 	HD006203  	015.76057	-04.83660
 	HD006397  	F4II-III    	 6580	  63	 4.03	 0.09	-0.10	 0.08	0 	HD006397  	016.27232	+14.94613
 	HD006461  	G3V         	 5106	  48	 2.45	 0.13	-0.88	 0.12	0 	HD006461  	016.35602	-12.90336
 	HD006482  	K0III       	 4790	  30	 2.79	 0.09	-0.09	 0.07	0 	HD006482  	016.40368	-09.97932
 	HD006497  	K2III       	 4450	  21	 2.75	 0.09	 0.02	 0.05	0 	HD006497  	016.75072	+56.93497
 	HD006582  	G5Vb        	 5397	  35	 4.53	 0.07	-0.79	 0.08	0 	HD006582  	017.06831	+54.92034
 	HD006734  	K0IV        	 4985	  36	 3.40	 0.10	-0.53	 0.08	0 	HD006734  	016.99860	+01.99304
 	HD006763  	F0III-IV    	 6972	  45	 4.10	 0.05	-0.11	 0.06	0 	HD006763  	017.09249	+05.64982
 	HD006805  	K1.5III     	 4576	  20	 2.62	 0.07	 0.10	 0.04	0 	HD006805  	017.14746	-10.18226
 	HD006833  	G9III       	 4608	  32	 1.92	 0.12	-0.72	 0.08	0 	HD006833  	017.46777	+54.73896
 	HD006834  	F2          	 6416	  48	 4.23	 0.06	-0.61	 0.08	0 	HD006834  	017.39693	+39.78105
 	HD006840  	G0          	 6004	  52	 4.01	 0.10	-0.33	 0.08	0 	HD006840  	017.71144	+67.78009
 	HD006920  	F8V         	 5944	  43	 3.71	 0.09	-0.04	 0.07	0 	HD006920  	017.57808	+42.08147
 	HD007087  	G8.5IIIa    	 4918	  31	 2.34	 0.08	-0.10	 0.07	0 	HD007087  	017.86342	+21.03465
 	HD007439  	F5V         	 6422	  46	 4.15	 0.06	-0.29	 0.06	0 	HD007439  	018.60017	-07.92283
 	HD007476  	F5V         	 6501	  40	 4.06	 0.05	-0.17	 0.05	0 	HD007476  	018.70488	-00.97379
 	HD008207  	K0III       	 4757	  26	 2.66	 0.08	 0.13	 0.06	0 	HD008207  	020.58508	+45.52878
 	HD008491  	K0III       	 4802	  27	 2.70	 0.08	 0.05	 0.06	0 	HD008491  	021.48342	+68.13001
 	HD008512  	K0III       	 4729	  28	 2.58	 0.09	-0.12	 0.06	0 	HD008512  	021.00585	-08.18326
 	HD008705  	K2III       	 4333	  22	 2.36	 0.11	-0.23	 0.06	0 	HD008705  	021.40515	-14.59880
 	HD008724  	G5          	 4754	  62	 1.66	 0.21	-1.68	 0.16	0 	HD008724  	021.57331	+17.12642
 	HD008890  	F7:Ib-IIvar 	 6192	  50	 1.40	 0.09	 0.13	 0.08	0 	HD008890  	037.95452	+89.26411
 	HD008949  	K1III       	 4700	  29	 2.67	 0.09	 0.13	 0.06	0 	HD008949  	022.09548	+07.96135
 	HD009057  	G9III       	 4967	  30	 2.74	 0.08	 0.06	 0.06	0 	HD009057  	022.52543	+47.00727
 	HD009269  	K0IIIvar    	 4779	  31	 2.55	 0.10	-0.22	 0.07	0 	HD009269  	022.94447	+30.62476
 	HD009270  	G7IIa       	 5006	  34	 2.26	 0.08	-0.06	 0.08	0 	HD009270  	022.87087	+15.34582
 	HD009408  	G9IIIb      	 4844	  31	 2.51	 0.09	-0.30	 0.07	0 	HD009408  	023.48282	+59.23204
 	HD009562  	G2IV        	 5819	  45	 3.91	 0.09	 0.17	 0.07	0 	HD009562  	023.42849	-07.02534
 	HD009826  	F8V         	 6151	  40	 4.10	 0.07	 0.08	 0.05	0 	HD009826  	024.19934	+41.40546
 	HD009856  	K1III       	 4426	  24	 2.08	 0.10	-0.11	 0.06	0 	HD009856  	023.99570	-15.40018
 	HD009927  	K3III       	 4371	  21	 2.29	 0.10	 0.12	 0.05	0 	HD009927  	024.49815	+48.62821
 	HD010307  	G1.5V       	 5881	  49	 4.29	 0.09	 0.03	 0.08	0 	HD010307  	025.44643	+42.61337
