star,T_eff,log_g,metallicity
HD100889.fits,10563.0,3.83,-0.27
HD102212.fits,3738.0,1.55,-0.41
HD102224.fits,4462.0,2.05,-0.38
HD102328.fits,4389.0,2.59,0.30
HD102870.fits,6071.0,4.05,0.13
HD103047.fits,5000.0,3.38,0.06
HD010307.fits,5881.0,4.29,0.03
HD103287.fits,9361.0,3.85,-0.44
HD010476.fits,5229.0,4.58,0.02
HD104783.fits,5103.0,2.63,-0.68
HD010486.fits,4896.0,3.39,0.36
HD104979.fits,4818.0,1.98,-0.58
HD104985.fits,4713.0,2.47,-0.33
HD105043.fits,4399.0,2.43,-0.22
HD105262.fits,8855.0,1.82,-1.61
HD105546.fits,5106.0,2.30,-1.48
HD105755.fits,5788.0,4.08,-0.66
HD105944.fits,4995.0,2.39,-0.70
HD106365.fits,4630.0,2.71,-0.01
HD106516.fits,6173.0,4.31,-0.73
HD106591.fits,8564.0,3.83,-0.35
HD106714.fits,4928.0,2.56,-0.22
HD010700.fits,5394.0,4.56,-0.47
HD107113.fits,6456.0,4.19,-0.45
HD107213.fits,6170.0,3.96,0.20
HD107383.fits,4806.0,2.44,-0.36
HD107418.fits,4753.0,2.77,-0.03
HD010761.fits,4997.0,2.54,-0.06
HD107752.fits,4868.0,1.90,-2.47
HD010780.fits,5417.0,4.63,0.11
HD107950.fits,5176.0,2.48,-0.02
HD108225.fits,5060.0,2.85,0.08
HD108317.fits,5114.0,2.46,-2.27
HD108510.fits,6008.0,4.37,0.01
HD108954.fits,6028.0,4.35,-0.12
HD109317.fits,4862.0,2.61,-0.08
HD109345.fits,4772.0,2.55,-0.09
HD109358.fits,5879.0,4.34,-0.24
HD109387.fits,15302.0,2.49,-0.65
HD010975.fits,4889.0,2.51,-0.22
HD011007.fits,5971.0,4.08,-0.22
HD110184.fits,4478.0,0.96,-2.25
HD110281.fits,4130.0,0.46,-1.38
HD110679.fits,4994.0,2.51,-0.67
HD110897.fits,5844.0,4.29,-0.57
HD110930.fits,5000.0,2.50,-0.58
HD111335.fits,3875.0,1.47,-0.05
HD111591.fits,4843.0,2.77,-0.19
HD111721.fits,5072.0,2.66,-1.30
HD111765.fits,4346.0,2.16,-0.02
HD111812.fits,5771.0,3.20,0.02
HD112030.fits,4972.0,2.51,-0.48
HD112127.fits,4447.0,2.58,0.30
HD112142.fits,3525.0,1.05,-0.10
HD112300.fits,3445.0,1.05,-0.03
HD113095.fits,4952.0,2.66,-0.09
HD113226.fits,5126.0,2.82,0.13
HD113515.fits,4714.0,2.39,-0.60
HD113847.fits,4560.0,2.31,-0.12
HD113848.fits,6680.0,4.17,-0.22
HD113994.fits,4785.0,2.59,-0.38
HD113996.fits,3998.0,1.90,-0.05
HD114038.fits,4621.0,2.48,0.02
HD114092.fits,4199.0,2.42,0.21
HD114113.fits,4507.0,2.41,-0.10
HD114203.fits,4869.0,2.63,-0.13
HD114256.fits,4834.0,2.66,0.01
HD114287.fits,3992.0,1.90,0.06
HD114330.fits,9550.0,3.85,-0.23
HD114357.fits,4426.0,2.65,0.14
HD114642.fits,6401.0,4.04,-0.12
HD114710.fits,6004.0,4.36,0.03
HD115004.fits,4905.0,2.37,0.09
HD115136.fits,4611.0,2.59,0.03
HD115202.fits,4791.0,3.19,-0.06
HD115383.fits,6024.0,4.26,0.15
HD115444.fits,4874.0,1.91,-2.52
HD115539.fits,4902.0,2.48,-0.43
HD115604.fits,7176.0,3.61,0.54
HD115617.fits,5598.0,4.46,0.01
HD011592.fits,6328.0,4.21,-0.34
HD116292.fits,4955.0,2.68,-0.07
HD011636.fits,8061.0,3.88,0.07
HD116656.fits,9135.0,3.89,-0.03
HD116658.fits,15073.0,3.60,-0.01
HD117176.fits,5502.0,3.89,-0.10
HD117243.fits,5855.0,4.16,0.24
HD011749.fits,4713.0,2.44,-0.21
HD117876.fits,4766.0,2.50,-0.46
HD118055.fits,4380.0,0.78,-1.86
HD118098.fits,8347.0,3.93,-0.26
HD118100.fits,4239.0,4.53,-0.17
HD118266.fits,4746.0,2.76,-0.13
HD119516.fits,5315.0,2.62,-1.84
HD120136.fits,6318.0,4.15,0.20
HD120164.fits,4797.0,2.58,-0.10
HD120315.fits,17291.0,3.86,-0.14
HD120348.fits,4659.0,2.44,-0.17
HD120452.fits,4821.0,2.65,0.01
HD121146.fits,4385.0,2.70,-0.08
HD121370.fits,5998.0,3.82,0.28
HD121560.fits,6133.0,4.27,-0.41
HD122408.fits,8308.0,3.80,-0.27
HD122563.fits,4755.0,1.62,-2.37
HD001227.fits,5068.0,2.81,0.00
HD012303.fits,12230.0,4.19,0.30
HD123299.fits,10307.0,3.90,-0.14
HD012339.fits,5022.0,2.51,-0.06
HD123657.fits,3235.0,0.48,-0.20
HD123934.fits,3680.0,1.30,-0.23
HD123977.fits,4799.0,2.51,-0.24
HD124244.fits,5782.0,4.02,0.07
HD124570.fits,6114.0,3.95,0.10
HD124850.fits,6226.0,3.90,-0.07
HD124897.fits,4310.0,2.02,-0.54
HD012533.fits,4319.0,1.50,0.04
HD125451.fits,6609.0,4.14,-0.07
HD125454.fits,4842.0,2.58,-0.11
HD126141.fits,6677.0,4.17,-0.08
HD126271.fits,4442.0,2.54,-0.01
HD126868.fits,5707.0,3.67,0.01
HD127334.fits,5667.0,4.21,0.23
HD128000.fits,3941.0,1.86,0.05
HD128385.fits,6192.0,4.19,-0.24
HD128750.fits,4617.0,2.50,-0.21
HD128987.fits,5581.0,4.62,0.08
HD129132.fits,6761.0,3.90,0.04
HD012929.fits,4527.0,2.42,-0.19
HD129312.fits,5002.0,2.37,0.02
HD129336.fits,4942.0,2.64,-0.28
HD012953.fits,10766.0,1.65,0.37
HD129956.fits,10252.0,3.86,-0.37
HD129972.fits,4987.0,2.64,-0.02
HD129978.fits,4500.0,2.25,-0.20
HD130025.fits,5226.0,2.82,-0.13
HD130087.fits,5950.0,4.10,0.23
HD130109.fits,9772.0,3.83,-0.41
HD130325.fits,4706.0,2.53,-0.16
HD130948.fits,5993.0,4.41,-0.01
HD131111.fits,4724.0,2.82,-0.27
HD131156.fits,5530.0,4.60,-0.08
HD131507.fits,4162.0,2.10,-0.11
HD131873.fits,4067.0,1.70,-0.13
HD132132.fits,4681.0,2.55,0.08
HD132254.fits,6195.0,4.15,0.05
HD132345.fits,4450.0,2.53,0.36
HD133165.fits,4725.0,2.50,-0.24
HD133208.fits,5049.0,2.35,-0.05
HD134083.fits,6517.0,4.18,-0.03
HD134190.fits,4937.0,2.54,-0.38
HD135148.fits,4361.0,0.72,-1.85
HD013530.fits,4863.0,2.72,-0.57
HD013555.fits,6432.0,4.07,-0.19
HD135742.fits,12946.0,4.12,0.33
HD136064.fits,6124.0,4.02,0.02
HD013611.fits,5101.0,2.34,-0.21
HD136202.fits,6132.0,3.99,0.02
HD136512.fits,4821.0,2.54,-0.27
HD136726.fits,4204.0,1.99,-0.01
HD136729.fits,8247.0,3.93,-0.30
HD137052.fits,6477.0,4.02,-0.04
HD138279.fits,6172.0,4.06,-1.35
HD138716.fits,4779.0,3.14,-0.09
HD139195.fits,4985.0,2.71,-0.11
HD139446.fits,5108.0,2.75,-0.28
HD139641.fits,5000.0,2.94,-0.52
HD013974.fits,5711.0,4.39,-0.42
HD140027.fits,5136.0,2.70,-0.11
HD141003.fits,8538.0,3.75,-0.20
HD141004.fits,5892.0,4.19,-0.01
HD141680.fits,4848.0,2.59,-0.20
HD141714.fits,5317.0,3.24,-0.23
HD142091.fits,4844.0,3.27,0.07
HD014214.fits,5975.0,4.11,0.03
HD142198.fits,4804.0,2.49,-0.27
HD142373.fits,5837.0,3.98,-0.51
HD143107.fits,4397.0,2.09,-0.18
HD143393.fits,4599.0,2.68,-0.07
HD143666.fits,4897.0,2.61,-0.19
HD143761.fits,5799.0,4.19,-0.26
HD145328.fits,4808.0,3.08,-0.07
HD145502.fits,19251.0,3.80,-0.02
HD014625.fits,4836.0,2.84,0.23
HD014626.fits,4630.0,2.73,-0.19
HD146791.fits,4918.0,2.59,-0.13
HD147677.fits,4982.0,2.93,0.11
HD014770.fits,5016.0,2.55,-0.02
HD148387.fits,5066.0,2.78,-0.07
HD148783.fits,3146.0,0.45,-1.00
HD148786.fits,5180.0,2.82,0.20
HD149161.fits,3924.0,1.86,-0.22
HD149630.fits,10294.0,3.99,0.03
HD149661.fits,5301.0,4.64,0.12
HD149757.fits,33262.0,4.09,-0.09
HD150012.fits,6628.0,3.98,0.13
HD150100.fits,10271.0,3.99,-0.33
HD150117.fits,10727.0,3.91,-0.22
HD150449.fits,4773.0,2.67,-0.03
HD150453.fits,6506.0,4.06,-0.28
HD150680.fits,5780.0,3.89,0.09
HD150997.fits,5042.0,2.79,-0.21
HD151431.fits,8346.0,3.78,-0.15
HD151613.fits,6760.0,4.11,-0.21
HD151769.fits,6417.0,3.89,0.13
HD151862.fits,9272.0,3.93,-0.14
HD001522.fits,4530.0,2.25,0.14
HD152569.fits,7303.0,3.87,0.22
HD152614.fits,11651.0,4.03,0.09
HD152815.fits,4941.0,2.62,-0.18
HD015318.fits,10055.0,3.73,-0.43
HD015335.fits,5912.0,4.02,-0.18
HD153597.fits,6304.0,4.29,-0.14
HD153653.fits,7561.0,4.12,-0.11
HD153808.fits,9609.0,3.82,-0.25
HD154278.fits,4718.0,2.61,-0.28
HD154431.fits,7821.0,4.03,-0.11
HD154445.fits,22604.0,3.78,-0.02
HD154543.fits,3576.0,1.27,-0.03
HD154660.fits,7663.0,3.97,-0.18
HD155514.fits,7591.0,3.87,-0.09
HD155763.fits,14064.0,3.79,0.13
HD015596.fits,4853.0,2.85,-0.65
HD157198.fits,9547.0,3.89,-0.28
HD157740.fits,8573.0,3.42,-0.05
HD157741.fits,10999.0,3.88,-0.19
HD157910.fits,5232.0,2.65,-0.09
HD015798.fits,6470.0,4.07,-0.15
HD158148.fits,15545.0,3.81,-0.03
HD158261.fits,9517.0,3.64,-0.10
HD158352.fits,7494.0,3.85,-0.06
HD158414.fits,8276.0,3.81,-0.19
HD158485.fits,8371.0,3.96,-0.23
HD158614.fits,5602.0,4.40,0.06
HD158716.fits,8629.0,3.66,-0.04
HD158899.fits,4155.0,1.76,-0.03
HD159139.fits,9405.0,3.81,-0.55
HD015920.fits,5119.0,2.84,-0.08
HD159332.fits,6264.0,4.00,-0.13
HD160054.fits,7890.0,3.92,-0.05
HD160315.fits,4980.0,2.88,0.10
HD160765.fits,9235.0,3.91,-0.40
HD160933.fits,5869.0,3.92,-0.28
HD161056.fits,21672.0,3.62,0.00
HD161693.fits,9391.0,3.80,-0.40
HD161868.fits,9608.0,3.93,-0.60
HD162570.fits,7511.0,3.87,0.02
HD163588.fits,4483.0,2.65,0.04
HD163624.fits,8422.0,3.77,-0.09
HD163917.fits,4965.0,2.78,0.16
HD163989.fits,6216.0,3.94,-0.04
HD164136.fits,6979.0,3.80,-0.07
HD164259.fits,6764.0,4.09,0.01
HD164284.fits,19706.0,3.69,0.00
HD164353.fits,18738.0,3.03,-0.01
HD016458.fits,4484.0,1.57,-0.53
HD165029.fits,9581.0,3.82,-0.51
HD165341.fits,5232.0,4.57,0.07
HD165358.fits,8948.0,3.94,-0.25
HD165401.fits,5766.0,4.43,-0.44
HD165645.fits,7294.0,3.99,0.02
HD165687.fits,4667.0,2.56,-0.02
HD165760.fits,5029.0,2.69,0.03
HD165908.fits,6013.0,4.19,-0.56
HD166014.fits,10590.0,4.17,-0.06
HD166046.fits,8326.0,3.99,-0.18
HD166207.fits,4806.0,2.67,0.02
HD166208.fits,5084.0,2.71,0.10
HD016673.fits,6219.0,4.29,-0.05
HD167006.fits,3518.0,1.16,-0.14
HD167042.fits,4959.0,3.34,-0.01
HD167588.fits,5945.0,4.02,-0.32
HD167771.fits,37002.0,3.59,0.12
HD168009.fits,5797.0,4.26,0.00
HD168092.fits,7014.0,4.07,-0.12
HD168151.fits,6450.0,4.18,-0.34
HD168199.fits,16479.0,3.80,-0.04
